project,prod_methods,tests,unique_calls,median_calls
Activiti,16215,3232,23440,6.0
AntennaPod,4145,411,1619,3.0
Apktool,929,185,372,1.0
Essentials,5409,33,101,3.0
ExoPlayer,16647,4565,27501,4.0
HMCL,8294,171,505,3.0
Hystrix,3063,817,4593,5.0
MPAndroidChart,2353,10,79,6.5
Mindustry,9358,76,209,2.0
MinecraftForge,6445,45,197,4.0
Paper,26718,681,2353,3.0
RxJava,10490,12189,57587,4.0
Signal-Server,3378,1520,6198,3.0
SmartTube,21992,1426,6455,4.0
ant,11641,2429,6768,2.0
argouml,16219,564,3218,4.0
async-http-client,1865,46,338,7.0
atmosphere,3098,269,1800,7.0
auto,1419,871,1959,2.0
baritone,2492,6,26,2.0
byte-buddy,12594,5166,232,0.0
caffeine,6126,2408,3532,0.0
cassandra,49508,10553,56264,4.0
checkstyle,10229,5661,17300,3.0
commons-io,3087,2615,7048,2.0
commons-lang,4403,4614,10491,2.0
cucumber-jvm,2610,1320,4283,2.0
dagger,9761,119,171,1.0
dbeaver,53242,441,1024,2.0
docx4j,41916,493,1209,2.0
dropwizard,2768,1697,3200,1.0
dubbo,20933,4020,18942,3.0
eclipse.jdt.core,84899,335,1426,2.0
elasticsearch,203658,41899,323555,6.0
error-prone,7394,6822,16770,2.0
facebook-android-sdk,412,8,33,4.0
fastjson,2006,5238,13874,2.0
feign,1757,1185,5568,4.0
flink,75022,17223,106853,5.0
flyway,4314,0,0,
glide,4050,2144,5988,2.0
grpc-java,14605,4878,27923,4.0
gson,1112,1496,5345,3.0
guava,33200,15079,51502,3.0
guice,3506,1541,5656,3.0
hadoop,99613,21929,167622,5.0
hazelcast,64544,19831,89207,3.0
hbase,51860,7641,61709,6.0
hector,3162,338,2197,5.0
hibernate-orm,71479,14108,60263,3.0
hibernate-search,24227,4479,33346,7.0
hutool,14584,3276,9728,2.0
iceberg,36850,15149,106464,6.0
incubator-seata,21489,6190,18752,2.0
intellij-community,287783,50052,3073,0.0
j2objc,60827,15211,55150,3.0
jOOQ,48801,0,0,
javaparser,9618,4567,21111,3.0
jclouds,32044,3982,19501,3.0
jedis,9632,4886,24315,3.0
jenkins,13115,3347,9909,2.0
jetty.project,35753,10582,77371,6.0
jgit,14293,6204,40351,4.0
jib,2567,1341,5235,3.0
jmeter,11562,1314,4457,2.0
jna,5798,1399,5865,3.0
junit4,1542,1559,3536,2.0
junit5,6165,5698,18314,2.0
kafka,36864,18080,133272,5.0
lombok,3987,38,70,2.0
lucene,38878,11032,83489,5.0
mage,167780,5932,52364,9.0
metrics,1980,917,2739,2.0
mockito,3090,2556,8700,3.0
mongo-java-driver,15256,2184,14526,5.0
mybatis-plus,3344,970,2586,1.0
nacos,14525,6208,25679,3.0
netty,29736,5828,26305,2.0
okhttp,258,10,7,1.0
openmrs-core,9548,4822,24221,4.0
pentaho-kettle,52369,6915,25793,2.0
plantuml,21612,1009,3583,3.0
pmd,16031,2129,6330,2.0
presto,65286,11543,63114,4.0
pulsar,26644,8497,62875,4.0
redisson,31115,3970,17283,4.0
rocketmq,18388,3057,11691,1.0
seatunnel,19343,2919,655,0.0
shardingsphere,17564,8922,4107,0.0
shardingsphere-elasticjob,985,692,1936,2.0
shenyu,16399,3245,12699,2.0
skywalking,7712,651,2234,2.0
solr,28099,7047,37143,3.0
sonarqube,32583,18743,88966,4.0
spring-boot,26800,15738,40998,2.0
spring-cloud-alibaba,2026,171,409,1.0
spring-framework,48647,23426,94724,3.0
titan,7261,198,860,3.0
tomcat,25440,4392,15958,2.0
vert.x,10269,3931,12599,0.0
visualvm,33160,235,71,0.0
voldemort,12817,825,5068,4.0
vraptor4,1657,861,2512,2.0
weka,41407,704,3,0.0
wicket,14510,2760,12072,4.0
wildfly,26229,4518,8831,1.0
wiremock,6588,3752,19769,4.0
xerces2-j,10204,222,721,2.0
xpipe,6396,5,5,1.0
zxing,2483,531,1103,1.0
